	tsne1	tsne2	tsne3	cluster
138	61.39359	-53.234303	19.211895	4
139	-98.861626	2.0780687	0.42402175	5
140	79.50961	-65.24141	19.205921	4
141	58.81597	-46.10899	44.97314	4
142	67.75358	-55.760036	38.09196	4
143	-54.7029	18.32531	49.60996	1
144	47.786976	-46.928516	28.589369	4
145	-8.920236	97.4649	-16.856506	6
146	18.893106	74.25625	-43.03685	6
147	51.162918	-61.785492	25.803118	4
148	65.02637	-61.15757	30.073938	4
149	-55.0728	14.230916	25.461754	1
150	40.889717	77.964455	-36.979324	6
151	-38.31423	20.452724	88.24735	1
152	23.12873	-2.4509885	-64.48992	0
153	78.14571	-54.40959	19.892654	4
154	58.223324	-48.313572	32.14165	4
155	45.02415	68.48682	-45.250664	6
156	22.896133	76.78693	-26.902582	6
157	-54.11262	21.216501	74.098816	1
158	-58.474342	22.204304	55.495037	1
159	-48.531624	14.973176	91.02347	1
160	65.02331	-72.631874	28.343777	4
161	-97.84667	9.228929	-8.160238	5
162	-55.806778	9.145771	79.87992	1
163	26.639975	88.48699	-31.79642	6
164	58.55643	-55.890244	35.120216	4
165	77.84181	-49.849606	41.452267	4
166	-44.668236	28.064398	33.857628	1
167	-59.56439	48.258766	-29.985449	6
168	6.8034573	75.14667	-48.816093	6
169	-53.18381	5.6021175	69.06247	1
170	-47.558395	30.303205	76.768196	1
171	8.985086	-3.6891687	-33.596752	0
172	55.80197	-59.15363	49.84024	4
173	67.12878	-39.48237	32.59771	4
174	-74.91283	-15.357977	4.189668	5
175	-86.783875	-39.94236	19.770163	3
176	40.014816	65.11974	-37.48126	6
177	-77.40508	-11.560627	58.61498	1
178	-85.8441	-41.22685	12.551272	3
179	69.320915	-75.53293	37.811085	4
180	32.088055	72.625565	-32.99066	6
181	24.00393	83.610886	-43.342766	6
182	-65.48437	90.310745	10.237248	6
183	48.551617	-57.261417	39.249893	4
184	-44.71706	49.935272	4.473549	6
185	31.26617	92.52988	-27.548067	6
186	57.141502	-67.07726	38.401077	4
187	-33.78386	10.560144	82.916306	1
188	18.270355	17.32755	-46.819794	0
189	68.74671	-63.722427	46.640385	4
190	37.255493	-63.421917	45.47096	4
191	8.412871	1.9838034	-84.62696	0
192	66.6123	-36.363895	5.2171226	4
193	-46.01757	40.45654	24.233816	1
194	-12.2839155	17.444986	-28.991682	5
195	-15.616322	3.8628628	-24.630962	5
196	-73.329666	57.625122	-31.034985	6
197	54.316456	-34.773586	6.0030603	4
198	52.291515	-3.543059	-7.776441	0
199	43.556873	-37.645058	10.050897	4
200	-65.272064	63.128784	-31.130585	6
201	-31.949137	39.16308	-31.73421	6
202	-9.021277	60.37268	43.198772	1
203	-26.665564	14.957615	-64.79106	5
204	38.219273	-36.64378	-3.6255708	0
205	-54.657166	67.74884	-6.03249	6
206	40.75674	14.9521055	-41.843315	0
207	-69.23946	51.113377	-12.37573	6
208	-62.01351	79.41507	-0.2180588	6
209	14.072781	30.668062	-72.218254	0
210	-78.604	34.451717	-15.9884205	5
211	-17.151358	77.852425	-54.235626	6
212	46.959557	10.757225	-34.639458	0
213	-39.782177	45.26306	-64.690865	5
214	-59.386013	64.72872	-14.618496	6
215	59.337284	-44.85743	-0.19082336	4
216	46.021748	-41.007114	-2.6685803	4
217	-16.465008	54.71318	-80.097145	6
218	40.985252	-50.399277	1.0775814	4
219	46.69413	-2.9212298	0.16426204	0
220	29.082779	-37.084484	29.402199	4
221	-24.890814	3.7080123	-19.38655	5
222	-14.551314	65.89598	-65.913666	6
223	55.887817	-33.77481	-1.8638678	4
224	-79.61942	35.828087	-23.306381	5
225	41.07985	25.59703	-72.98241	0
226	-11.728585	5.5483336	-62.68084	5
